ACCESS-ESM1-5,CESM2,GFDL-ESM4,GISS,NorESM2-LM,MPI-ESM1-2-LR,CNRM-ESM2-1,UKESM,UVic-ESCM-2-10,HadCM3LC-Bris
0.3446294367313385,0.4041264057159424,-9.234375953674316,0.4502323567867279,0.40329062938690186,0.44138023257255554,0.7254127194886107,0.9033,-0.695571780204773,0.2774870831937169
1.1697653532028198,1.3749302625656128,-7.986090183258057,1.5855655372142792,1.3157002925872803,1.2394375801086426,1.9877793502257535,2.0069999999999997,-1.1960461139678955,1.139870948078175
2.4273838996887207,2.6502575874328613,-6.532730579376221,2.8320405185222626,2.6036829948425293,2.249809980392456,3.599595483284717,3.1180999999999996,-1.2388074398040771,2.6239085560122613
4.10529899597168,4.303720474243164,-4.996534824371338,4.112747758626938,4.2180280685424805,3.4570250511169434,5.285708426432905,4.4441,-0.9157767295837402,4.097794737302318
5.980447769165039,5.9982428550720215,-3.3208298683166504,5.654827564954758,6.0007476806640625,4.837359428405762,7.223950808849255,5.8618999999999994,-0.28972071409225464,5.838653082407281
7.961603164672852,7.620504379272461,-1.341652274131775,7.494441956281662,7.927143573760986,6.424233913421631,9.364380233901539,7.578099999999999,0.5824642181396484,7.595488279509271
10.073077201843262,9.284667015075684,0.7074118852615356,9.578019589185715,9.940690994262695,8.284740447998047,11.302916875274537,9.4445,1.6673527956008911,9.398624964990928
12.208884239196777,11.16557502746582,2.8736162185668945,11.746076077222824,11.94056224822998,10.221776008605957,13.250395176844766,11.3055,2.934164524078369,11.279930197856991
14.476445198059082,13.15085506439209,4.949758529663086,13.978678911924362,14.121699333190918,12.12177848815918,15.388896584632217,13.2887,4.354164123535156,13.22502634638351
16.842601776123047,15.269679069519043,7.573468208312988,16.334789961576462,16.435855865478516,14.064417839050293,17.644800156819546,15.3462,5.909753799438477,15.313443382641445
18.979806900024414,17.261154174804688,10.196243286132812,18.552507132291794,18.74613380432129,16.08272933959961,19.86148479662623,17.5647,7.585256576538086,17.735646613613987
21.213590621948242,19.41716766357422,12.65656852722168,20.79566118121147,21.144271850585938,18.056028366088867,22.33990230188804,19.949299999999997,9.3623685836792,20.154716468568274
23.340211868286133,21.72148895263672,14.921616554260254,23.15370938181877,23.58082389831543,20.207983016967773,24.62884772051109,22.246599999999997,11.232156753540039,22.688721390740547
25.37778663635254,23.98318099975586,17.546348571777344,25.55532404780388,26.092241287231445,22.425010681152344,27.02497522565882,24.7001,13.181426048278809,25.25011670688883
27.729652404785156,26.176422119140625,20.34374237060547,27.929949015378952,28.635982513427734,24.589618682861328,29.409671761299602,27.1421,15.203657150268555,27.948479474632304
30.150177001953125,28.55348777770996,23.297710418701172,30.41531988978386,31.221580505371094,26.788135528564453,31.6976419403639,29.505399999999998,17.294641494750977,30.680747059914044
32.52705383300781,30.91253662109375,26.413938522338867,33.0219552218914,33.72927474975586,28.879669189453125,33.96127480189535,31.928099999999997,19.44709014892578,33.41384942676629
34.954769134521484,33.3007698059082,29.451215744018555,35.76823541522026,36.243202209472656,31.119192123413086,36.58042902895988,34.40219999999999,21.66221809387207,35.766474724649214
37.44459533691406,35.70175552368164,32.55006790161133,38.48864504694939,38.7640266418457,33.396324157714844,39.12434932444048,37.02799999999999,23.928970336914062,38.46395623058343
39.89904022216797,38.14047622680664,35.43412399291992,41.06390234827995,41.433719635009766,35.99685287475586,41.84959878904204,39.64009999999999,26.2413272857666,41.007387104984105
42.29594421386719,40.466060638427734,38.370643615722656,43.93188163638115,44.09539794921875,38.51642990112305,44.55664960240628,42.25839999999999,28.59250259399414,43.266904199875235
44.786842346191406,42.89742660522461,41.21247482299805,47.021846264600754,46.76846694946289,40.96898651123047,47.04536751961661,44.951199999999986,30.981616973876953,45.606439551851366
47.23036575317383,45.27081298828125,44.234107971191406,49.889195173978806,49.423194885253906,43.20046615600586,49.753808542282115,47.32429999999999,33.40899658203125,48.075485886513206
49.794288635253906,47.68373107910156,47.24094009399414,52.60072609782219,52.035438537597656,45.476593017578125,52.52952641927806,49.55679999999999,35.86482620239258,50.71229485398333
