,tauV,tauL,tauS,Q10,rmse
ACCESS-ESM1-5,15.455285689751072,51.178513449964335,404.9513297461666,1.050011501828786,0.019382327396522035
CESM2,17.795441137219672,73.54527835258372,1000.0,1.3202630769468382,0.029105837404135877
GFDL-ESM4,8.199561784314593,517.4098602984443,1000.0,2.6856629550995987,0.09027038501463255
GISS_E2.1,8.959935140973815,,1000.0,1.0,0.17629941267730756
NorESM2-LM,17.526627423957667,76.5897933085272,1000.0,1.5853219108380232,0.030299328385141922
MPI-ESM1-2-LR,8.522752611913816,170.77262591628073,1000.0,2.2577036734090656,0.09633178943972998
CNRM-ESM2-1,16.065869472413713,56.51813190749517,1000.0,1.0000734022637625,0.03739356722759124
HadCM3LC-Bris,11.471224437007997,,1000.0,1.0,0.0743144883154918
UKESM1.2,11.983162068669165,,1000.0,1.0,0.06133587246627744
