,tauV,tauL,tauS,Q10,rmse
ACCESS-ESM1-5,14.947995302053407,58.02169571589977,842.4384715547803,1.0694602138075973,0.01706008129642094
CESM2,15.464746045325178,56.98020797504359,1000.0,1.223913550805327,0.018049176387608418
GFDL-ESM4,9.483285486817854,1000.0,249.6620630610258,2.7763061918609506,0.03360161003773736
GISS_E2.1,15.803059398775524,,1000.0,5.0,0.05054815830744715
NorESM2-LM,15.596810491455326,4.522105749739259,45.97948446336887,2.0670578209738792,0.015310980417866365
MPI-ESM1-2-LR,7.533078568544113,694.0531708735948,429.6311992657845,2.5732847374774392,0.032998555677480446
CNRM-ESM2-1,15.635909375085452,823.6144161090155,1000.0,3.543426475949939,0.023137617579598844
HadCM3LC-Bris,8.576752336076316,,1000.0,5.0,0.04803449543099632
UKESM1.2,10.392319206443872,,1000.0,5.0,0.02735075320293152
